Comment,Designator,Footprint,LCSC
USB_A,J3,USB_A_Stewart_SS-52100-001_Horizontal,C112456
8MHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
10uF,"C11,C3",C_1206_3216Metric,C13585
22pF,"C5,C6",C_0402_1005Metric,C1555
10K,"R27,R4",R_1206_3216Metric,C17902
4K7,R1,R_1206_3216Metric,C17936
22R,"R5,R6",R_1206_3216Metric,C17958
100nF,"C1,C10,C12,C2,C4,C7,C8,C9",C_1206_3216Metric,C24497
4.7uF/16V,C13,C_1206_3216Metric,C29823
1K,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R3,R7,R8,R9",R_1206_3216Metric,C4410
DIP Switch,SW2,SW_DIP_SPSTx08_Slide_6.7x21.88mm_W8.61mm_P2.54mm_LowProfile,C5439767
STMPS2141,U3,SOT-23-5,C54624
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
74HCT04,U4,SOIC-14_3.9x8.7mm_P1.27mm,C672096
1N4148,D2,D_SOD-123,C81598
STM32F105RBTx,U2,LQFP-64_10x10mm_P0.5mm,C8349
MMBT2222,Q1,SOT-23,C8512
BSS123,"Q2,Q3,Q4,Q5,Q6,Q7",SOT-23,C8545
5V Passive Buzzer 12mm,BZ1,Buzzer_12x9.5RM6.5,
Programming Connector,J5,PinHeader_2x05_P2.54mm_Vertical,
Power Connector,J1,PinHeader_1x04_P2.54mm_Horizontal,
Floppy Data Connector,J6,PinHeader_2x17_P2.54mm_Horizontal,
LED Green,D1,LED_D3.0mm,
"OLED Display 0.91"" Module",J2,OLED_Display_0.91_Module,
KY040 Rotary Encoder Module,SW1,PinHeader_1x05_P2.54mm_Vertical,
